filename,gt,crnn_pred,tess_pred
01695,ជជ្រុលមមុល,ជជ្រុលមមុល,ជជ្រុលមមុល
01696,វប្បធម៌ខ្ពស់,វប្បធម៌ខ្ពស់,$ប្យច%ខ្ចស់
01697,តេឡេទស្សន៍អាច,តេឡេទស្សន៍អាច,តេទេទស្សន៍អាច
01698,ក្បាលកិច្ចការរដ្ឋបាលភាសា,ក្បាលតិច្ចការដ្ឋបាលភាសា,ក្យាលកិច្ចកា83ដ្ឋបា លតាសា
01699,ឬ,ឬ,ប
01700,។ខ.សិទ្ធិ,។ខ.សិទ្ធិ,%ខ.សិទ្ធិ
01701,សរទកាល,សរទកាល,សរន#ឆភាល
01702,ពភឹប,ពភឹប,គីប
01703,ពើកៗ,ពើកៗ,ឈើនៗ
01704,ខាបខា,ខាបខា,ខាយខា
01705,ត្រូវបំពេញកិច្ចសន្យាចំពោះ,ត្រូវបំពេញកិច្ចសន្យាចំពោះ,(ប្រូវបំពេញកិច្ចសន្យាចំពោះ
01706,សំនាក់ឬអូតែលមាន,សំនាក់ឬអូតែលមាន,សំនាក់ឬ.អូខត/ឋមា&
01707,អ្វី ? ទោះបី មាន ការប្រកួតប្រជែង ពី ផលិតផល ឧស្សាហកម្ម   ក៏ សិប្បកម្ម,ី អគរំកចសតងំែងបេបច ់្ចែ,អ្វី ?'ទោះបី មាន តារប្រកួតប្រជែង ពឺ-ផលិតផល ឧស្សាហកម្ម.ក៏.សិប្បភម្ម
01708,ទន្លេឬស្ទឹងក៏,ទន្លេឬស្ទឹងក៏,ទន្លេឬស្ទឹងក៏
01709,។ តើ គោលការណ៏ សំខាន់ នៃ ប្រជាធិបតេយ្យ មាន អ្វី ខ្លះ ? គោលការណ៏ សំខាន់ នៃ,អំនឆគ់ក់ំបចគចផប្ហែរែអប់ំ៉ាះ,។ តើ គោលការណ៏ សំខាន់ នៃ ប្រជាធិបតេយ្យ មានអ្វីខ្លះ ? គោលការណ៏ សំខាន់ នៃ
01710,ក្នុង ផ្លូវ ត្រូវ ។,ក្នុង ផ្លូវ ត្រូវ ។,កថ ឆ្លូវ ន្រូវ ។
01711,ចាម្ប៉ាហៅថា,ចាម៉្បាហៅថា,ចាម៉ាហៅថា
01712,ត្ោតលៃ,តាតលៃ,ឆាន?
01713,ទៅ ធ្វើ គ្រូបង្រៀន,ទៅ ធ្វើ គ្រូបង្រៀន,ទៅ ធ្វើ គ្រូបញិ&
01714,ជាតិ ប្រមាណ ខ្ពស់   ហើយ អត្រា មរណទាប ។,ជតិប្រហា ន្ស់ ហើ បន្ ាចល់។,ជាតិ ប្រមាណ ខ្ពស់ ហើយ អត្រា មរណទាប ៕
01715,ស្រែនិពន្ធ នៅ ឆ្នាំ ណា ?   ជា ប្រភេទ អក្ស សិល្ប៏ អ្វី ?,សរៅម ម ្នងព? មនក្បើប្ប្វ,ស្រែនិពន្ធនៅឆ្នាំណា? ជាប្រភេទ អក្សសិល្ប៏អ្វី?
01716,ស្កូវលលក,ស្កូវលលក,កលក
01717,  ពោធិព្រឹក្ស   របស់ អង្គ ព្រះបរម គ្រូ, ពេច្ក រេ់ អ្គ ពរេ គ្,_ ពោធិព្រឹក្ស របស់ អង្គ ព្រះបរម គ្រូ
01718,បរិស្ថានៈ-ព្យារយៈពេល,បរិស្ថានៈ-។ព្យារយៈពេល,បរិស្ថានៈ-ព្យារយៈពេល
01719,បាន មនុស្ស ខ្វិន   អាច ដើរ បាន សត្វ ជាប់ ចំណង រួចផុត ពី ចំណង,អម្សិ ជចំអេមូងបរេបចុំរំបរ,បាន មនុស្ស ខ្វិន អាច ដើរ បាន សត្វ ជាប់ ចំណង រួចផុត ពី ចំណង
01720,សម្របសម្រួល   និង ខិតខំប្រឹង   ប្រែង,សម្រម្មរ  និ ិំងសរំ  បរែ,សម្របសម្រួល និង ខិតខំប្រឹង ប្រែង
01721,ឃឹក​ៗ,ឃឹក​ៗ,យៗ
01722,គឺ បុណ្យ ភ្ជុំ បិណ្ឌ   បុណ្យ ចូល ឆ្នាំ ។ តើ រូប អប្សរា មាន អត្ថន័យ, ប្សក្ុ ព្ន នំន្នេសន,គឺបុណ្យភ្នំបិណ្ឌ បុណ្យ ចូលឆ្នាំ។ តើ រូប អប្សរា មាន អត្ថន័យ
01723,ដូចជា៖ក.,ដូចជា៖ក.,អ៊ូចដា៖ក.
01724,ធ្វើឱ្យមនុស្សមានចិត្ត,ធ្វើឱ្យមនុស្សមានចិត្ត,ឆ្វិទ៉/មនុស្សមា&ចិន្ត
01725,ដំរី សម្បុរ មាស ខ្ចី   ( កែវភ្នែក,ជី សម្បុរ មា ធ្វ   កែរតភ្ូត,
01726,ស្ដាប់,ស្តាប់,ស្តាប់
01727,និងជាកសិដ្ឋានអាចចិញ្ចឹម,និងជាកសិដ្ឋានអាចចិញ្ចឹម,នំបជាកយិដ្ឋានអាចចិញ្ចួស
01728,។តើពន្លឺដាលក្នុងលំហ,។តើពន្លឺដាលក្នុងលំហ,។អើពន្លឺនាលក្មុងដលំហ
01729,។   លោក ពុំ មាន អ្វី ជា,។   លោក ពុំ មាន អ្វី ជា,។ លោកពុំមានអ្វីជា
01730,តាមឯកសាររបស់លោកត្រឹងងា,តាម់ឯកសារបស់លោកគ្រឹងពា,ភាយឯកសាររបស់លោកព្រឹននា
01731,ចរិយា ធម៌ និង គ្រប់,ចរិយា ធម៌ និង គ្រប់,ចា ឆម៍ និ ស្រប
01732,សុខដុម,សុខដុម,សុខមុម
01733,វិធីឬ,វិធីឬ,ទទ
01734,? ចូរ ពន្យល់,? ចូរ ពន្យល់,? ចូរ ពន្យល់
01735,លយ,លយ,២០៤0
01736,សម្ទុះក្អែក,សម្មុះក្អែក,សម្ពុះស្អក
01737,បណ្ដាំ,បណ្ដាំ,បណ្តាំ
01738,មាន ប្រព័ន្ធ បោះឆ្នោត ល្អ   មាន និយ័តភាព   និង ការបោះឆ្នោត ដោយ សំងាត់ ការដោះស្រាយ វិវាទ,“ ) អូរ កែ ំែអ្នវ ក ៍,មាន ប្រព័ន្ធ បោះឆ្នោត-ល្អ មាន និយ័ត៌ភាព:::និង-ភារបោះឆ្នោត ដោយ សំងាត់:ការដោះស្រាយ វាទ
01739,គោលការណ៍អធ្យាក្រឹតភាពគឺ,គោលការណ៍អធ្ា្រឹតភាពគឺ,គោលការណ៏អធ្យាក្រឹតភាពគឺ
01740,ដោយសម្តេចសង្ឃជួន,ដោយសម្តេចសង្ឃជួន,ដោយសម្តេចសង្ឃជួន
01741,លោហៈត្បូងមានតម្លៃ,លៅហៈគ្បូងមានតម្លៃ,(៣ហ:គ្យូដា3ត្ល
01742,ថាជាការបំពេញការងារ,ថាជាកាបំពេញការងារ,វាជាគារបចំឈណសាគារហារ
01743,ទឹកពីធុង(,ទឹកពីធុង(,ន»យីធុន(
01744,រាប,រាប,១ា២
01745,គោលបំណង របស់ ខ្លួន ។ តើ,គោលបំណង របស់ ខ្លួន ។ តើ,គោលបំណង របស់ ខ្លួន ។ តើ
01746,ប្លូច,ប្លូច,ខូច
01747,ក្នុង លោក នេះ   មាន អ្នកណា ខ្លះ យល់ ពី,ឆន លោក េ  ១ាម្នា ខ្លះយល់ ី,ក្នុងលោកនេះ មាន អ្នកណាខ្លះ យល់ពី
01748,ដែល ត្រូវបាន,ដែល ត្រូវបាន,នល (ត្តូវបាន
01749,សាច់រឿង ។ ៧-  សិល្បៈ,សាច់រឿង ។ ។ សិល្បៈ,សាប ។ ៧- សិល្បៈ
01750,ជា   អវតា ជួយ ថែរក្សា,ជា   អវតា ជួយ ថែរក្សា,ជា អវតា ជួយ ថែរក្សា!
01751,ថ្លាកសាងដោយស្ដេច,ថ្លាកសាងដោយស្តេច,ថ្លាកសាដ(ដាយ(ស្គឲ
01752,ល្បោយ,ល្បោយ,ល្បោយ
01753,ស្រលក,ស្រលក,ត្ររលក
01754,បិទពួន,បិទពួន,ជិទពួន
01755,នៃ ខ្យល់,នៃ ខ្យល់,វន ខ្យល់
01756,រំលាយ,រំលាយ,ទំលាយ
01757,បានជាប្រព័ន្ធព្រះអាទិត្យ?,បានជាប្រព័ន្ធព្រះអាទិត្យ?,ជ្មាននាប្រព័ន្ធប្រះរនាទិត្យ ?
01758,រំលោភ សិទ្ធិ,រំលោភ សិទ្ធិ,លែក សិទ្ធិ
01759,ដើម្បី អប់រំ ខ្លួន,ដើម្បី អប់រំ ខ្លួន,នើម្វី អប់រ័ន្ជន
01760,លឺ​ជា,លឺជា,ជា
01761,  ព្រះភគវន្ត   -   ព្រះហរិ,  ព្រះភតន្ត -   ព្រះហរិ,ព្រះភគវន្ត - ព្រះហរិ !
01762,តុត្ថកម្មវាចាឲ្យនេនបាន,តុត្តកម្មវាចាឲ្យនេនបាន,តត្ថក=5)ចាឲ្យ(88ប8
01763,តាម សំណូមពរ របស់ កូន,តាម សំណូមពរ របស់ កូន,ភាយ សំណូយារ របស កូន
01764,ចន្ទ្រាធិមាស,ចន្ទ្រាធិមាស,ចន្ទ្រា និយាគរ
01765,ទុក យ៉ាង,ទុក យ៉ាង,ទុក ាំ#
01766,ជាតិ មួយ   ពោលគឺ   បាត់បង់ ប្រវត្តិសាស្ត្រ ទឹកដី   ជាតិ កំណើត   ភាសា,ទ ច់ អង់្កំុបំ ំ ៉់ ះ,= មួយ ពោលគឺ បាត់បង់ ប្រវត្តិសាស្ត្រ ទឹកដី “ជាតិ កំណើត: -ភាស
01767,៦-សិនតូ,៦-សិនតូ,៦-សិនតូ
01768,ការលូតលាស់ចាប់,ការលូតលាស់ចាប់,ការលូតលាស់ចាប់
01769,ខ្ញូច,ខ្ញូច,ខច
01770,មន្ទីរ ជំនាញ,មន្ទីរ ជំនាញ,នរ ដ៏នាស
01771,អប --,អប --,៦
01772,ទំនាស់ធម្មជាតិៈគឺ,ទំនាស់ធម្មជាតិៈគឺ,ទំនាស័គម្មជាភិៈអី
01773,ដែររឺទេ?ខ្មែរយើងដែលមាន,ដែរីទេ?ខ្មែរយើងដែលមាន,កក
01774,  អាក្រាត កាយ   បង្អត់ អាហារ .. .   ដែល ហៅ ថា ធ្វើ,អក្ា សាយ ច្ក ពោៈ  លជា អិ,_អាក្រាត កាយ បង្អត់អាហារ.... ដែលហៅថាធ្វើ
01775,ទី១សម្រាប់រយៈពេល,ទី១សម្រាប់រយៈពេល,ទី១សម្រាប័រយៈពេល
01776,សទ្ទ--,សទ្ទ --,សទ ----
01777,៣០ ខែតុលា,៣០ ខែតុលា,៣០ ខភុលា
01778,សម្រាប់បំភ្លឺសត្វលោកទៅ,សម្រាប់បំក្លីសត្ូលោកទៅ,@យម្រាប់បំគ្លីយតួ(លាក(ខា
01779,គឺ៖ថ្ងៃទី១ជាថ្ងៃចូលឆ្នាំឬ,គឺថ្ងៃទី១ជាថ្ងៃចូលឆ្នាំឬ,គិឧថ្ជទី១ារថ្ងមូលឆាំឬ
01780,សង្គមចង់ឲ្យ,សង្គមចង់ឲ្យ,សង្គមចយបូ/
01781,គ្រោង,គ្រោង,គ្រោង
01782,កន្ទ្រែត,កន្ត្រែត,កន្រ្រែត
01783,កំណិន,កំណិន,កំណិន
01784,និងវិភាគទៅលើគម្លាតនៃជំនាញ,និងវិភាគទៅលើគម្លាតនៃជើនាញ,នឺបឌិតាគ(9សិកម្លាតនៃជ៍នាញ
01785,អំពី យុវជន,អំពី យុវជន,អំពី យុវជន
01786,ឬជាអ្នកសុំទាន,ឬជាអ្នកសុំទាន,ឬជាអ្នកសុំទាន
01787,មាន៖ត្រូវ,មាន៖ត្រូវ,ា8#ត្រូ៖
01788,កុមារ ជា ទំពាំង,កុមារ ជា ទំពាំង,កុយារ ដា ទំពាំង
01789,តើ មាន អ្វី កើតឡើង ?,តើ មាន អ្វី កើតឡើង ?,តើមាន.អ្វីូ កើតឡើង?
01790,អុល,អុល,រល
01791,រួស,រួស,ស
01792,ខៃ,ខៃ,ខៃ
01793,?អាវុធគឺជា(អាយុធ),?អាវុធគឺជា(អាយុធ),? រររុនគឺមា ( អាយុន )
01794,បំផ្លាញ ជីវិត មនុស្ស និង សត្វ,បិជ្ជាញ ជីវិត មនុស្ស និង សត្ខ,ផ្លាញ ជីវិត មនុស្ស និង សព្វ
01795,ធុង,ធុង,ឌុយ
01796,ន៏ ល្ខោន ពាក្យ ពេជ សម្រាប់ និយាយ ឥទ្ធិពល ចាម ជ្វា   សតវត្ស ទី ៥ សិល្បៈ ស្ថាបត្យកម្ម,ខ្វព នផ្ល សក េ ុំង្ុ កត,ន៍ ល្ខោន ពាក្យ ពេជ សម្រាប់ និយាយ ឥទ្ធិពល ចាម ជ្វា សតវត្សទី ៥ សិល្បៈ ស្ថាបត្យកម្មឹ
01797,ការគោរព សិទ្ធិ របស់ ប្រជាពលរដ្ឋ,ការគោរព សិទ្ធិ រប់ប្ជាលដ្ឋ,រគោរព សិទ្ធិ វបស់ ប្រជាពលរដ្ឋ /
01798,នៅក្នុង រដ្ឋធម្មនុញ្ញ ព្រះរាជាណាចក្រ កម្ពុជា មាន   ៖,ក្កប្ន្មរាស ស្ាខាន ,នៅក្នុង រដ្ឋធម្មនុញ្ញ ព្រះរាជាណាចក្រ កម្ពុជា មាន ៖
01799,ពិភពលោក នេះ,ពិភពលោក នេះ,ពិភពលោក នេះ
01800,សាវ,សាវ,តា7
01801,ទៅ ប្រយុទ្ធ ជាមួយ ចាម   ហើយ បាន ទទួល,ទៅ ល្យុ្ធជាមយ បា  លើយ បានទ ចូល,ទៅ.ប្រយុទ្ធ ជាមួយ.ចាម.ឃើយ៉ៈបាន ទទួល
01802,សង្គមកម្ពុជាត្រូវទទួល,សង្គមកម្ពុជាត្រូវទទួល,សញ្ច*កម្ពដាន្រូវទួ្ឋស
01803,ឋាននរក ។៦. វជ្រ បាណ៌,ឋាននរក ។៦. វជ្រ បាណ៌,បានរក ។៦. រជ្រ ប៉ាណ៍
01804,វោហារ,វោហារ,ជាហារ
01805,ពេញលេញក្លាយជាពលរដ្ឋល្អ,ពេញលេញក្លាយផាពលដ្ឋល្អ,ពេញលេញក្លាយជាពលរដ្ឋល្អ
01806,បង់ ថ្លៃ នៅ សាលា សាធារណៈ   ក្នុង ថ្នាក់ អប់រំ មូលដ្ឋាន,ផ្លន លាបាល ្ូ្នាប់ំុញ្ា,បង់ថ្លៃនៅសាលា សាធារណៈ ក្នុង ថ្នាក់ អប់រំ មូលដ្ឋាន
01807,"ក្បាលមឿង, ឬក្បាលជីមឿង",ក្បាលមងើង ឬក្បាលជីម្ងើង,"គឌ្ញាលខ្វឿន៍, បក្យាលសីម្ងឿន៍"
01808,ថាអ្វី?កន្លែង,ថាអ្វី?កន្លែង,ថាអ្វី?កន្លែង
01809,រវ៉ែតរវ៉ត,រវ៉ែតរវ័ត,រន
01810,ឆ្កូតក្វាត,ឆ្លូតក្វាត,ស្ក្ភាតគ្ងាត
01811,ម៉ាក់ ម៉ា,ម៉ាក់ ម៉ា,មាក់ មាំ
01812,វ,វ,រ
01813,យ៉ៃ,យ៉ៃ,យ
01814,ចោតនិងឆ្លើយ,ចោតនិងឆ្លើយ,(ចាតនិ៤(ឆ្លឺយ
01815,ស្រាំង,ស្រាំង,ស្រាំង
01816,មឈូស,មឈូស,យយ
01817,តិច ឬ បក្ស ដែល ចាញ់,តិច ឬ បក្ស ដែល ចាញ់,តិច ឬ បស នល ចាញ់
01818,លក្ខណៈ សម្បត្តិ ដូចម្តេច ខ្លះ ដើម្បី ក្លាយជា គ្រូបង្រៀន ល្អ ពិតប្រាកដ ? គ្រូបង្រៀន ល្អ ពិតប្រាកដ, ្ប្បង ្កគ្វ,លក្ខណៈ សម្បត្តិ ដូចម្តេច ខ្លះ ដើម្បី ក្លាយជា គ្រូបង្រៀន ល្អ ពិតប្រាកដ ? គ្រូបង្រៀន ល្អ ពិតប្រាកគឺគ
01819,ចំណោត,ចំណោត,ចំណាក
01820,ពក   មាន ប្រភព នៅ ខ្ពង់រាប,ពាក   មាន ប្រភព នៅ ខ្ពលង់រាប,ក មានប្រភព នៅ ខ្ពង់រាប
01821,វិធាន វិន័យ លុប ឈ្មោះ ចេញ,វិធាន វិន័យ លុប ឈ្មោះ ចេញ,វិធាន វិន័យ លុប ឈ្មោះ ចេញ
01822,មើល មុខ គ្នា មិន ចំ,មើល មុខ គ្នា មិន ចំ,ណី ឃុ គ្នា មិន ចំ
01823,ពី ក្របខ័ណ្ឌ អប់រំ,ពី ក្របខ័ណ្ឌ អប់រំ,ពី គ្រ#ណ្ឌ រំ
01824,ទទួលបាន គុណសម្បត្តិ និង គុណវិប ត្តិ៖ក .   គុណសម្បត្តិ ផ្នែក នយោបាយ ក្រោយពេល កម្ពុជា ចូល,។ ។ កុកំងំន អើ្ើ រ ល ) រេទ,ទទួលបាន គុណសម្បត្តិ និង គុណវិប ត្តិ៖ក . គុណសម្បត្តិ ផ្នែក នយោបាយ ក្រោយពេល កម្ពុជា ធួញ
01825,ជាតិខ្មែរ,ជាតិខ្មែរ,ជាភិឌ្មរ
01826,ធ្នូ​ខ្វែក,ធ្នូខ្វែក,ម្នវទ្លក
01827,លូតកាន់តែវែង?,លូតកាន់តែវែង?,លូតកាន់តែវែង?
01828,ប្រុស ៗ,ប្រុស ៗ,ប្រុស ព
01829,ប្រជាពលរដ្ឋ ។   ប្រជាពលរដ្ឋ និង អាជ្ញាធរ,បរជាពទ្ធ។ ្មាលដ្និ ាញ្ា,ប្រជាពលរដ្ឋ ។ ប្រជាពលរដ្ឋ និង អាជ្ញាធរ
01830,ប្រវត្តិសំខាន់ៗ,ប្រវត្តិសំខាន់ៗ,(រ្រះត្ថិស័ខានៗ
01831,ងីងើ,ងឺងើ,ងល
01832,៥ ឆ្នាំ ហើយ,ថ ឆ្នាំ ហើយ,៥ ភ្នំ ហី
01833,គ្មានឃើញអ្វីក្រៅពី,គ្មានឃើញអ្វីក្រៅពី,.គ្មានឃើញូអ្វីក្រៅអី
01834,ពន្យលពី,ពន្យលពី,៩ាន្យលើ ៣
01835,តែ ២០ ដុល្លា,តែ ២០ ដុល្លា,ខ័ ២០ នុស
01836,អាកាស--,អាកាស--,អាកាស--
01837,ដោយសារការ,ដោយសារការ,ដោយសារការ
01838,អន្លូងក្បាលស្វា,អន្លួងក្បាលស្វា,អន្លងក្បាលស្វា
01839,ណ៏ ។ លទ្ធិ,ណ៍ ។ លទ្ធិ,យំ 7 លទ្ធិ
01840,កន្តើយ,កន្តើយ,កន្លើយ
01841,ផ្លូវមធ្យោបាយ,ផ្លូវមធ្យោបាយ,ន្លូវសឆ្យោបាយ
01842,ទទួល ទោស នឹង បាន សំរាល ការលំបាក បាន ច្រើន   ឯ អ្នក ដែល បាន ទៅ សោយ,បូន ចំែចកៈ។អ្ុំ អ្នងេជ័៨,ទទួល ទោស នឹង បាន សំរាល ការលំបាក បាន ច្រើន ឯ អ្នក ដែល បាន ទៅ សោយ
01843,របស់ ខ្លួន,របស់ ខ្លួន,រឋស់ ខ្លង
01844,រ៉សុីដង់,រ៉ស៊ីដង់,#ស៊ីនដ៏
01845,ឧច្ច,ឧច្ច,រឬ
01846,ភុម្ម​ទេវតា,ភុម្មទេវតា,តុ២3តា
01847,២នាក់ ព្រាន ព្រៃ   ១នាក់ ទន្សោង   ២នាក់ ប្រើ ស,ហក ពវ ព្ ករព្ ាក បី,ប នាកំព្រាន ព្រៃ29នាក់ ទន្សោង= ២នាក់ ប្រេ
01848,រាចំ យ៉ា.. ។ តើ គេ,រាចំ យំ.. ។ តើ គេ,រាចំយា..។គនើន
01849,ត្រូវប្រតិបត្តិ។ផ្អែកលើ,ត្រូវប្រតិបត្តិ។ផ្អែកលើ,ន្រូវជ្រតិបត្តិ។ឆ៊គឈី
01850,)៖មិនត្រូវសំលាប់,)៖មិនត្រូវសំលាប់,)៖ទិ& ត្រូវិស/ហប់
01851,ឲ្យមានសណ្តាប់ធ្នាប់។មិន,ឲ្យមានសណ្តាប់ធ្នាប់។មិន,ឲ្យ២ានសញ្រាប់ថ្នាប់7៤ន
01852,២ (Persing II),២ (Peana D),.? (០08|3|70 1)
01853,ឲ្យ ក្លាយជា បរិស្ថាន,ឲ្យ ក្លាយជា បរិស្ថាន,ឲ្យ ក្លាយជា បរិស្ថាន
01854,ស្រព,ស្រព,តព
01855,ស្រុក ២១ ឃុំ ៩០,ស្រុក ២១ ឃុំ ៩០,ស្រុក ២១ ឃុំ ៩០
01856,កេរ,កេរ,កេរ
01857,ទេហក្ស័យ,ទេហក្ស័យ,ទេហក្ស័យ
01858,ស្រទ្ធា,ស្រទ្ធា,ស្រទ្ធា
01859,ឬ ថង់ ប្លាស្ទិច,ឬ ថង់ ប្លាស្ទិច,។ ចប់ ប្ជាយ៉ូ្ច
01860,សន្តុដ្ឋី,សន្តុដ្ឋី,សន្ទទ្ធិ
01861,ហ្មញ្ញ សាសនា ។ បញ្ហា ភាវៈ នៅក្នុង ព្រា ហ្មញ្ញ សាសនា បែងចែក ជា ៣សម័យកាល គឺ,ឆ្ញនោ?ជូតឆ្កូវព្លងនងដែរច់ងារ់,ហ្មញ្ញ សាសនា ។ បញ្ហា ភាវៈ នៅក្នុង ព្រា ហ្មញ្ញ សាសនា បែងចែក ជា ៣សម័យកាល គឺ
01862,បង់សៀត,បង់សៀត,បង់សៀត
01863,ពំនិត,ពំនិត,និត
01864,ស្វាងដូចជាផឹកការហ្វេ[,ស្វាងដូចជាជឹកការហ្វ,ស្វាងដូចជាផឹកការហ្វេ
01865,គជសីហ៍,គជសីហ៍,គនសីហ៍
01866,។ តើ ចែក ជា ស្រុក ឃុំ,។ តើ ចែក ជា ស្រុក ឃុំ,។ កើ ក ជា ស្រុក ឃុំ
01867,ឬ អ្វី,ឬ អ្វី,ង៉ូ
01868,:គឺជាស្ថិរភាព,:គឺជាស្ថិរភាព,:គឺជាស្ថិរភាព
01869,សំណាក់សាស្រ្ដាចារ្យមួយរូប,សំណាក់សាស្ត្ដាចារ្រមួយរូប,សំណាក់សាស្ត្រាចារ្យមួយរូប
01870,ញ៉ិកញ៉ក់,ញ៉ិកញ៉ក់,កាក
01871,អ្វី ខ្លះ ? វប្បធម៍ ចែកចេញ ជា ពីរ,អ្វី ខ្ខ រ្រមប ដែកចេញ ជា ពីរ,អ្វីខ្លះ ? វប្បធម៏ ចែកចេញជា ពីរ
01872,នេះគឺជា,នេះគឺជា,នេះគឺជា
01873,វិស័យឯកជន(Public-Private,វិស័យឯកជនរពtoie-Pnnie,ខំយ៍២2ឯកជ2(០យ(|០-០||ម៣8
01874,ដំណើរការ តាម សេចក្តីពី,ដំណើរការ តាម សេចក្តីពី,ឆនំណីរគារ គាម លចន្តីសី
01875,អាស៊ានមានពីរធំ,អាស៊ានមានពីរធំ,្អាាយ៉ាន២ានក299
01876,។ ចូរ រៀបរាប់,។ ចូរ រៀបរាប់,។ ចូរ ល្យបរាប៉
01877,សង្គម   និង ការធ្វើឲ្យ ប្រសើរឡើង នូវ កម្រិត ជីវភាព,ដ្ល ិក ្ប្បរើក ន ប ្រ ើរ,សង្គម និង ការធ្វើឲ្យ ប្រសើរឡើង នូវ កម្រិត ជីវភាព
01878,គោលការណ៍គ្រឹះ៥ចំណុចគឺ៖១-,គោលការណ៏គ្រឹះមំណាមគឺ៖,គោលការណ៍គ្រឹះ៥ចំណុចគី8-
01879,ភណ្ឌិល,ភណ្ឌិល,ភណិល
01880,  និង វិន័យ ដ៏ ត្រឹមត្រូវ សម្រាប់,  និង វន័យ ជឺ ត្រឹមត្រវ សម្រាប់,នង វិន័យៈដ៏ ត្រឹមគ្រូវ.សម្រារ
01881,  មាស   និង ត្បូង,  មាស   និង ត្បូង,ម៉ាស និង ត្បូង.
01882,ថៃ - វៀតណាម ( ស. វទី ១៣),ថៃ - វៀតណាម( ស វទី ៣ា,ច -- ញ្លំតណាម ( ស. ?# ១៣)
01883,ខ្មែរភាគខាងលិចអស់៩ខេត្ត,ខ្មែភាគខាងលិចអស់នខេត្ត,ឲ្មរភា គខាន់លិចរ»ស៩ខេត្ត
01884,គេ តែង,គេ តែង,(កត
01885,”តើរាជធានីភ្នំពេញ,“តើរាជធានីភ្នំពេញ,"""(គិគាជបាទិគ្នំ(៣ញ"
01886,បញ្ហានេះក្នុងនាម,បញ្ហានេះក្នុងនាម,បញ្ហា នេវត្គុង៍នា ម
01887,សង្វាស,សង្វាស,សហញ្វស
01888,នឹក ក្នុង,នឹក ក្នុង,នឹក ក្នុង
01889,នឹង បញ្ហា អសកម្ម (,នឹង បញ្ហា អសកម្ម (,នប បញ្ហា %ស@កម្ម (
01890,ណា ម្នាក់ ក្នុង,ណា ម្នាក់ ក្នុង,ណា ម្នាក់ គ្គុ
01891,អោយគេទាយពីខ្យល់ព្យុះទុក,អេយគេទាយពីខ្យល័ព្យ -ទុក,ណយ៣ណទាយសី./ សស្យុះខុត
01892,តើគំរូ,តើគំរូ,(គឺក
01893,គ្នា   និង មាន ភារកិច្ច ជួយ,គ្នា   និង មាន ភារភិច្ច ជួយ,គ្នា - និង មាន ភាវកិច្ច'ជួយ:
01894,អ្វីខ្លះ?ចូរបង្ហាញ។,អ្វីខ្លះ?ចូរបង្ហាញ។,ភ៊ីខ$/ប្ដុរបន្រាសាទ
01895,មានសុវត្ថភាព,មានសុវត្ថភាព,មា&សុវិត្ថភាស
01896,គេ សម្លាប់ មនុស្ស ដើម្បី បូជា   ក្រោយមក គេ កាប់ សម្លាប់ ជីវិត សត្វ,ខ្េសផនសផ្មំើទ កេនរា់ សូវីទីប,គេ សម្លាប់ មនុស្ស ដើម្បី បូជា ក្រោយមក គេ កាប់ សម្លាប់ ជីវិត សត្វ
01897,។នេះជា,។នេះជា,។នេះអា
01898,ចលនាអ្វី,ចលនាអ្វី,ចាន
01899,មានវិធានការបែបណាខ្លះ,មានវិធានការបែបណាខ្លះ,មានវិធានគារលបណាខ្ល«ះ
01900,អាច ជួយ រឹតបន្តឹង លើ,អាច ជួយ រីតបន្តឹង លើ,ច ជួយ វីគបន្ចឺទ ឈី
01901,របស់ ផ្កាយ ដុះ,របស់ ផ្កាយ ផុះ,របស់ អ្កាយ គុះ
01902,កណ្តុរ)២.ឆ្លូវ(សត្វគោ,កណ្តុរ)២០ឆ្លូវ(សេត្វគោ,កណ្តុរ)២.ឆ្ល?[សត្វាគោ
01903,គោលដៅជាមូលដ្ឋាន,គោលដៅជាមូលដ្ឋាន,ណសលឈលជ៉ូលន្យ&
01904,ស្របតាមតម្រូវការ,ស្របតាមតម្រូវការ,ស្រៗគាមគម្រូវិការ
01905,ផ្លួវការ នៃ,ផ្លូវការ នៃ,ផ្លូវការ វន
01906,ហេបៗ,ហេបៗ,សាបៗ
01907,ច្រមូល,ច្រមូល,ប្រមូល
01908,ញញឹម ព្រោះ,ញញឹម ព្រោះ,ហម ព្រោះ
01909,អង្វែង,អង្វែង,% ខ្រ
01910,សំពិន,សំពិន,សំពិន
01911,។ត្រូវ,។ត្រូវ,។គ្រូវ
01912,ពស្ដុ   ( សព្វ ថ្ងៃ ប្រទេស នេប៉ាល់ ) ។ ព្រះបិតា នាម   សុទ្ធោទនៈ ជា ព្រះចៅ,។ (មុងច្នរវោៈ ពូងាន (េូងះៗួូធ,ពស ( សព្វថ្ងៃប្រទេស នេប៉ាល់ ) ។ ព្រះបិតា នាម សុទ្ធោទនៈ ជា ព្រះចៅ
01913,  ខ្វះ ការអភិវឌ្ឍ ”   ចូរ ស្រាយ បំភ្លឺ ឲ្យបាន ក្បោះក្បាយ៖               ការអប់រំ,អក្ក  រេង្បល្ៈ  ,ការអភិវឌ្ឍ ចូរ ស្រាយ បំភ្លឺ ឲ្យបាន ក្បោះក្បាយ៖  ការអា
